order,section,category,name_en,name_th,name_jp,name_cn,desc_en,desc_th,desc_jp,desc_cn,price,signature,soldout
1,non_alcohol,soft_drinks,Mont Fleur Mineral Water,น้ำแร่ Mont Fleur,,,,,,,20,,
2,non_alcohol,soft_drinks,Charles House Mineral Water,น้ำแร่ Charles House,,,,,,,15,,
3,non_alcohol,soft_drinks,Coca-Cola (Can),โค้ก (กระป๋อง),,,,,,,25,,
4,non_alcohol,soft_drinks,Schweppes Manao Soda,ชเวปส์ มะนาวโซดา,,,,,,,25,,
5,non_alcohol,mixers,Soda,โซดา,,,,,,,15,,
6,non_alcohol,mixers,Ice Bucket (Small),ถังน้ำแข็ง (เล็ก),,,,,,,25,,
7,non_alcohol,mixers,Ice Bucket (Large),ถังน้ำแข็ง (ใหญ่),,,,,,,50,,
8,non_alcohol,snacks,Fried Chicken Tendon,เอ็นไก่ทอด,,,Signature,เมนูแนะนำ,,,59,TRUE,
9,non_alcohol,snacks,French Fries,เฟรนช์ฟรายส์,,,,,,,69,,TRUE
10,non_alcohol,snacks,Edamame,ถั่วแระญี่ปุ่น,,,,,,,39,,
11,alcohol,beer,Singha Beer (Can 490 ml),สิงห์ (กระป๋อง 490 มล.),,,,,,,79,,
12,alcohol,beer,Singha Beer (Bottle 320 ml),สิงห์ (ขวด 320 มล.),,,,,,,59,,
13,alcohol,beer,Singha Beer (Bottle 620 ml),สิงห์ (ขวด 620 มล.),,,,,,,89,TRUE,
14,alcohol,beer,Budweiser (Bottle),บัดไวเซอร์ (ขวด),,,,,,,109,,
15,alcohol,beer,Hoegaarden Rosée,โฮการ์เด้น โรเซ่,,,,,,,139,,
16,alcohol,spirits,St. Henri VSOP,เซนต์ เฮนรี่ VSOP,,,,,,,549,,
17,alcohol,spirits,Suntory Kakubin Whisky,ซันโทรี่ คาคุบิน,,,,,,,"1,390",,
18,alcohol,spirits,Jameson Irish Whiskey,เจมสัน,,,,,,,"1,690",,
19,alcohol,spirits,Johnnie Walker Black Label,จอห์นนี่ วอล์กเกอร์ แบล็ก,,,,,,,"1,899",,
20,alcohol,spirits,Chivas Regal 12 Years,ชีวาส รีกัล 12 ปี,,,,,,,"2,299",,
21,alcohol,wine,19 Crimes Red Blend,19 ไครมส์ เรด เบลนด์,,,Served with Glasses & Ice Bucket,เสิร์ฟพร้อมแก้ว & ถังน้ำแข็ง,,,790,,
22,alcohol,wine,Penfolds Koonunga Hill 2023,เพนโฟลด์ส คูนุงก้า ฮิลล์ 2023,,,Served with Glasses & Ice Bucket,เสิร์ฟพร้อมแก้ว & ถังน้ำแข็ง,,,890,,
